2020-08-28 16:42:55.340 [main] INFO  com.zmj.ZmjApplication - Starting ZmjApplication on gaihongweideMacBook-Air.local with PID 8308 (/Users/gaihongwei/tools/eclipse/workspace/block/target/classes started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/block)
2020-08-28 16:42:55.344 [main] INFO  com.zmj.ZmjApplication - No active profile set, falling back to default profiles: default
2020-08-28 16:42:56.917 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-28 16:42:56.924 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-08-28 16:42:57.009 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43ms. Found 0 Redis repository interfaces.
2020-08-28 16:42:58.314 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 19111 (http)
2020-08-28 16:42:58.343 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-19111"]
2020-08-28 16:42:58.344 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-28 16:42:58.344 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-28 16:42:58.611 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-28 16:42:58.612 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3149 ms
2020-08-28 16:42:58.916 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-08-28 16:42:59.313 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-08-28 16:43:00.674 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-28 16:43:01.381 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19111"]
2020-08-28 16:43:01.453 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 19111 (http) with context path ''
2020-08-28 16:43:01.471 [main] INFO  com.zmj.ZmjApplication - Started ZmjApplication in 7.788 seconds (JVM running for 8.868)
2020-08-28 16:43:48.537 [http-nio-19111-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-28 16:43:48.538 [http-nio-19111-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-28 16:43:48.554 [http-nio-19111-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 15 ms
2020-08-28 16:43:48.937 [http-nio-19111-exec-1] INFO  com.zmj.commom.trx.TrxUtils - transaction info by id : {"id": "9fea3079de856b18aea6f1cc435caeabb3fb6339efc671a7ce071a43a9be48bb","blockNumber": 254594,"blockTimeStamp": 1597902024000,"contractResult": ["0000000000000000000000000000000000000000000000000000000000000000"],"contract_address": "4181aebbded41c5372b6e44a2f0d47ff60fe488f09","receipt": {"energy_usage": 14309,"energy_usage_total": 14309,"net_usage": 346,"result": "SUCCESS"},"log": [{"address": "81aebbded41c5372b6e44a2f0d47ff60fe488f09","topics": ["ddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef","0000000000000000000000004311f08873669b35f995e0bfb603509e1d96c380","000000000000000000000000c5e9f1c57d096eec50933b28a3169ad39cab7493"],"data": "00000000000000000000000000000000000000000000000000000000004fd968"}]}
2020-08-28 16:43:56.748 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-28 16:43:56.750 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-08-28 16:43:56.752 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-08-28 16:44:24.622 [main] INFO  com.zmj.ZmjApplicationTests - Starting ZmjApplicationTests on gaihongweideMacBook-Air.local with PID 8336 (started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/block)
2020-08-28 16:44:24.624 [main] INFO  com.zmj.ZmjApplicationTests - No active profile set, falling back to default profiles: default
2020-08-28 16:44:25.745 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-28 16:44:25.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-08-28 16:44:25.880 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75ms. Found 0 Redis repository interfaces.
2020-08-28 16:44:26.856 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-08-28 16:44:27.115 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-08-28 16:44:28.532 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-28 16:44:29.758 [main] INFO  com.zmj.ZmjApplicationTests - Started ZmjApplicationTests in 5.879 seconds (JVM running for 7.998)
2020-08-28 16:44:30.530 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-28 16:44:30.541 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-08-28 16:44:30.551 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-08-28 17:09:03.038 [main] WARN  org.springframework.boot.StartupInfoLogger - InetAddress.getLocalHost().getHostName() took 5006 milliseconds to respond. Please verify your network configuration (macOS machines may need to add entries to /etc/hosts).
2020-08-28 17:09:08.053 [main] INFO  com.zmj.ZmjApplication - Starting ZmjApplication on gaihongweideMacBook-Air.local with PID 8448 (/Users/gaihongwei/tools/eclipse/workspace/block/target/classes started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/block)
2020-08-28 17:09:08.054 [main] INFO  com.zmj.ZmjApplication - No active profile set, falling back to default profiles: default
2020-08-28 17:09:09.648 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-28 17:09:09.656 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-08-28 17:09:09.771 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75ms. Found 0 Redis repository interfaces.
2020-08-28 17:09:11.505 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 19111 (http)
2020-08-28 17:09:11.537 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-19111"]
2020-08-28 17:09:11.537 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-28 17:09:11.538 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-28 17:09:11.949 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-28 17:09:11.950 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3795 ms
2020-08-28 17:09:12.361 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-08-28 17:09:12.821 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-08-28 17:09:13.934 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-28 17:09:14.180 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-08-28 17:09:15.031 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19111"]
